TICKER	FECHA	APERTURA	MAXIMO	MINIMO	ULTIMO	VOLUMEN
FDR	12/10/2007	-0,4659534	-0,4659534	-0,4659534	-0,4659534	0
FDR	31/10/2007	6,3340466	6,4240466	6,2340466	6,3040466	17838870
FDR	01/11/2007	6,3240466	6,3640466	6,2340466	6,2540466	1664457
FDR	02/11/2007	6,2340466	6,3940466	6,2340466	6,3340466	1803879
FDR	05/11/2007	6,3840466	6,4040466	6,2140466	6,2140466	1580309
FDR	06/11/2007	6,1740466	6,2640466	6,0440466	6,0440466	1426789
FDR	07/11/2007	6,0940466	6,2140466	6,0740466	6,1340466	599220
FDR	08/11/2007	6,0840466	6,1140466	6,0540466	6,1140466	274501
FDR	09/11/2007	6,1840466	6,1840466	6,0440466	6,0440466	299783
FDR	12/11/2007	6,0440466	6,1640466	6,0340466	6,0840466	659047
FDR	13/11/2007	6,0540466	6,1140466	6,0340466	6,0340466	583644
FDR	14/11/2007	6,0440466	6,0940466	5,7240466	6,0240466	1099887
FDR	15/11/2007	6,0340466	6,0340466	5,9840466	6,0340466	484372
FDR	16/11/2007	6,0340466	6,0540466	5,9840466	6,0340466	307099
FDR	19/11/2007	6,0340466	6,0340466	5,9940466	5,9940466	321537
FDR	20/11/2007	5,9840466	6,0040466	5,8340466	5,8340466	685578
FDR	21/11/2007	5,8340466	5,8840466	5,7940466	5,8140466	677526
FDR	22/11/2007	5,8840466	5,8840466	5,7540466	5,7540466	872782
FDR	23/11/2007	5,6140466	6,0340466	5,5340466	6,0340466	901673
FDR	26/11/2007	5,7340466	6,0840466	5,7340466	5,8840466	667535
FDR	27/11/2007	5,7840466	5,8440466	5,7340466	5,7340466	140612
FDR	28/11/2007	5,6540466	5,7140466	5,5340466	5,6040466	476864
FDR	29/11/2007	5,6440466	5,6740466	5,5340466	5,5640466	372483
FDR	30/11/2007	5,5440466	5,5640466	5,4340466	5,4640466	722360
FDR	03/12/2007	5,4340466	5,4740466	5,1440466	5,4040466	441544
FDR	04/12/2007	5,4040466	5,4840466	5,3140466	5,3340466	301887
FDR	05/12/2007	5,3340466	5,4340466	5,3340466	5,3740466	142771
FDR	06/12/2007	5,3740466	5,3740466	5,2940466	5,3640466	75659
FDR	07/12/2007	5,3640466	5,4140466	5,2340466	5,3840466	208554
FDR	10/12/2007	5,3340466	5,3840466	5,3340466	5,3340466	69074
FDR	11/12/2007	5,3340466	5,6340466	5,3340466	5,5240466	747147
FDR	12/12/2007	5,4840466	5,6040466	5,4440466	5,5040466	404805
FDR	13/12/2007	5,4540466	5,4940466	5,3340466	5,3840466	676477
FDR	14/12/2007	5,3240466	5,5340466	5,3040466	5,4340466	489901
FDR	17/12/2007	5,4340466	5,5640466	5,4340466	5,4840466	469494
FDR	18/12/2007	5,5240466	5,5540466	5,4540466	5,5340466	204224
FDR	19/12/2007	5,5340466	5,6240466	5,4540466	5,6040466	80691
FDR	20/12/2007	5,6040466	5,6040466	5,4740466	5,5240466	104164
FDR	21/12/2007	5,6240466	5,6240466	5,4340466	5,5240466	82801
FDR	27/12/2007	5,2440466	5,4840466	4,8140466	5,3140466	149704
FDR	28/12/2007	5,0840466	5,5540466	5,0840466	5,5540466	260168
FDR	02/01/2008	5,5240466	5,5340466	5,2540466	5,5340466	120526
FDR	03/01/2008	5,4840466	5,4940466	5,3540466	5,4940466	27280
FDR	04/01/2008	5,3640466	5,4840466	5,2940466	5,4140466	38641
FDR	07/01/2008	5,2340466	5,4240466	4,8240466	5,2840466	284595
FDR	08/01/2008	5,0840466	5,2840466	5,0840466	5,2840466	145058
FDR	09/01/2008	5,2840466	5,2840466	5,0440466	5,2040466	280489
FDR	10/01/2008	5,1840466	5,2740466	4,8840466	4,9140466	242831
FDR	11/01/2008	4,8240466	4,9840466	4,5340466	4,7240466	212754
FDR	14/01/2008	4,6240466	4,7140466	4,1940466	4,7140466	453739
FDR	15/01/2008	4,7140466	4,7340466	4,4740466	4,5840466	405428
FDR	16/01/2008	4,5340466	4,5340466	4,2540466	4,5040466	106714
FDR	17/01/2008	4,5340466	4,5340466	4,3340466	4,5240466	72683
FDR	18/01/2008	4,5340466	4,5340466	4,4340466	4,5240466	58771
FDR	21/01/2008	4,2740466	4,5340466	3,8140466	4,0340466	243839
FDR	22/01/2008	3,6340466	4,3640466	3,3340466	4,3640466	411903
FDR	23/01/2008	4,1640466	4,5240466	3,8340466	4,2340466	355884
FDR	24/01/2008	4,3440466	4,4540466	4,2640466	4,4340466	299033
FDR	25/01/2008	4,3840466	4,4840466	4,1940466	4,2840466	78348
FDR	28/01/2008	4,1240466	4,2740466	3,8940466	4,2340466	118351
FDR	29/01/2008	4,0540466	4,2740466	4,0540466	4,2440466	59633
FDR	30/01/2008	4,2440466	4,2440466	4,1540466	4,2340466	40898
